35 45
111 686 628 521 974 444 STD(31,45:32,45) 595 80 801 540 902 SUM(2,29:2,33) STD(13,15:15,15) 126 159 125 516 410 836 811 AVG(12,32:15,39) 149 210 15 555 885 820 322 AVG(29,23:29,25) STD(10,25:11,25) 168 SUM(15,33:18,40) 993 735 768 513 903 STD(8,31:9,31) SUM(32,45:34,45) 187 AVG(14,22:19,23) 934 380 964
85 269 970 578 518 442 466 867 577 206 72 608 651 339 429 SUM(28,23:28,24) STD(24,14:34,16) 160 182 STD(20,12:20,30) 665 359 746 841 649 415 436 414 142 363 230 703 SUM(6,7:8,8) SUM(12,30:13,32) SUM(12,1:12,3) 993 629 649 317 235 212 453 12 254 STD(31,5:31,25)
AVG(18,8:23,26) 38 898 739 328 SUM(30,27:30,28) 327 539 575 623 282 58 728 809 AVG(28,16:28,18) SUM(22,3:24,6) 501 947 760 771 STD(30,6:30,9) 550 860 598 353 213 AVG(25,36:28,36) 987 130 412 AVG(1,3:1,7) 454 848 597 540 AVG(15,30:19,34) 465 553 SUM(29,29:35,29) 683 234 SUM(8,1:12,18) STD(19,28:20,28) 723 467
737 370 255 397 822 846 188 AVG(15,24:21,24) 195 335 359 132 685 482 901 STD(23,5:24,30) 635 829 186 94 621 AVG(1,6:7,13) SUM(20,1:20,18) 605 755 342 756 576 421 885 186 175 106 693 18 AVG(9,30:11,31) AVG(1,15:2,43) 136 347 781 267 408 301 STD(27,30:27,31) 578
68 267 810 643 754 STD(32,16:34,18) 863 932 SUM(32,33:34,38) AVG(10,6:11,22) STD(13,26:14,26) 610 94 STD(1,18:2,18) 762 804 217 73 303 993 636 850 SUM(5,30:19,30) 254 853 STD(4,32:21,32) AVG(14,23:15,23) 848 415 800 AVG(2,41:11,41) 419 709 AVG(5,7:16,7) 205 234 564 AVG(18,31:20,33) 524 350 338 AVG(31,35:32,37) 131 764 SUM(18,42:19,42)
344 STD(24,13:29,13) SUM(27,18:28,23) 545 754 STD(2,4:3,4) 411 424 988 100 13 STD(31,6:32,6) 713 369 34 867 AVG(5,42:5,43) 769 142 985 55 709 AVG(17,13:20,14) 871 706 226 AVG(10,5:13,12) 684 765 933 65 614 401 667 SUM(32,38:33,38) 243 300 30 528 748 844 SUM(27,33:30,33) 953 330 SUM(34,38:34,40)
22 AVG(26,31:30,35) 185 AVG(17,44:18,44) SUM(2,7:2,16) 259 480 145 73 91 726 130 851 935 309 625 143 AVG(12,32:22,32) 298 679 185 158 237 981 852 SUM(19,15:21,15) 18 340 505 982 STD(34,17:34,18) 6 AVG(17,25:17,27) 542 104 454 AVG(20,17:20,18) 745 STD(2,4:4,8) 914 666 347 292 SUM(20,22:20,34) 42
252 AVG(24,28:24,29) 239 SUM(16,29:18,32) 341 AVG(10,9:23,9) 543 399 2 406 873 276 STD(10,1:11,2) 863 AVG(9,21:10,21) 888 SUM(13,14:21,15) 821 430 289 STD(18,37:19,38) 121 12 772 270 625 STD(26,15:30,15) 149 344 250 172 737 137 STD(1,11:2,12) 360 413 92 177 648 751 847 207 157 STD(28,15:29,15) STD(4,28:4,31)
418 142 AVG(12,2:15,2) AVG(7,10:7,11) 883 413 40 663 589 SUM(21,9:22,10) AVG(19,31:24,32) AVG(17,9:18,9) 616 107 850 91 178 871 79 47 772 217 793 571 305 SUM(3,30:10,30) 376 867 5 739 162 289 AVG(19,12:24,12) 82 848 365 195 AVG(13,29:13,38) 30 SUM(16,1:32,3) 182 STD(19,38:24,40) AVG(10,41:10,42) 474 AVG(29,29:29,30)
137 894 230 683 534 78 589 848 28 983 148 628 SUM(29,7:31,9) 730 635 509 27 AVG(29,15:30,15) 338 711 33 288 328 259 858 506 AVG(8,12:8,25) 107 619 SUM(20,38:21,38) 395 144 647 674 AVG(8,24:9,34) 83 STD(20,30:20,44) 164 560 979 293 440 829 STD(5,19:5,22) 693
544 410 334 947 994 814 376 232 923 AVG(16,22:19,23) 965 46 359 61 469 58 SUM(18,2:22,4) 593 295 AVG(30,8:31,9) SUM(13,7:19,7) 384 747 915 561 SUM(6,7:6,9) AVG(18,19:19,22) 246 96 885 STD(30,17:31,18) 806 907 970 671 69 336 STD(7,6:7,11) 711 839 704 STD(24,20:24,22) 323 203 STD(27,21:27,32)
