35 30
39 426 SUM(16,10:16,12) 879 692 397 STD(11,11:11,30) 454 44 571 STD(11,19:16,22) 116 SUM(15,28:15,29) 722 443 37 35 SUM(30,10:30,12) 529 STD(11,17:11,18) 983 SUM(20,18:20,21) 604 610 399 788 315 880 787 829
STD(13,30:17,30) 928 60 751 STD(1,21:1,26) SUM(20,22:26,22) 565 410 167 AVG(14,7:30,7) 796 868 129 617 STD(8,17:11,23) 302 132 691 SUM(1,8:2,8) 436 171 STD(10,11:15,12) SUM(19,7:21,7) AVG(8,18:12,19) 20 452 113 488 755 991
684 AVG(27,22:34,22) 630 918 666 956 690 194 SUM(26,28:26,29) 475 660 571 193 116 578 AVG(11,2:11,11) SUM(34,24:34,28) 394 163 410 386 400 991 386 AVG(32,22:33,22) SUM(6,1:14,5) STD(29,15:34,16) 603 988 AVG(20,2:20,4)
AVG(13,19:17,19) AVG(4,17:4,18) 906 639 STD(29,2:31,2) 486 642 533 779 842 897 962 AVG(33,21:35,27) 823 291 93 521 SUM(10,8:10,12) 699 SUM(24,5:25,25) 897 615 SUM(21,18:21,26) 576 558 867 37 SUM(20,29:22,29) 174 STD(21,18:23,18)
483 273 STD(3,25:4,25) 481 815 54 656 STD(20,24:20,25) STD(35,8:35,9) AVG(19,3:22,4) 262 726 894 SUM(24,2:24,7) SUM(1,24:12,26) 600 437 SUM(21,29:22,29) 459 STD(21,11:21,16) 276 SUM(7,16:8,18) STD(21,3:23,3) 201 627 311 567 SUM(7,2:12,2) 427 776
269 70 213 599 966 571 754 677 589 191 STD(18,9:22,12) 785 751 82 431 SUM(6,25:7,25) STD(20,22:25,27) 804 839 AVG(6,2:14,3) 525 STD(29,29:31,29) 212 320 920 462 AVG(10,3:10,4) 526 STD(34,28:34,29) 379
305 878 571 420 190 AVG(23,26:23,27) STD(7,15:8,19) 790 362 983 109 838 STD(27,22:27,28) 325 559 382 313 130 STD(12,7:16,9) AVG(3,7:23,15) 254 938 568 716 999 842 533 AVG(1,4:2,4) AVG(31,8:34,14) STD(14,10:14,12)
90 585 SUM(26,26:33,26) 754 SUM(26,1:26,3) 384 235 720 469 383 885 657 STD(17,16:17,19) 403 STD(32,28:32,30) 861 STD(10,22:10,23) 238 267 810 194 280 STD(7,8:12,9) 426 728 283 793 616 55 367
942 AVG(27,25:27,26) 285 STD(35,13:35,14) 177 STD(9,5:11,5) 838 226 825 AVG(5,5:12,7) AVG(15,7:21,7) 496 149 535 952 AVG(26,25:32,25) 693 781 739 AVG(25,19:30,19) AVG(27,18:28,19) STD(3,1:25,9) 18 367 407 674 729 125 AVG(19,8:19,11) 152
604 376 61 622 STD(25,1:26,1) 348 563 413 545 640 587 854 381 250 AVG(14,9:15,10) 144 470 SUM(13,29:14,29) 178 STD(20,26:20,28) 794 421 AVG(10,13:10,14) STD(18,12:20,12) STD(21,9:22,9) 720 252 SUM(15,25:17,25) 576 AVG(9,1:10,1)
AVG(30,9:31,11) 736 682 SUM(23,11:25,11) 137 233 622 276 13 AVG(13,13:19,13) 592 531 SUM(2,8:13,9) AVG(31,16:31,17) 452 77 AVG(24,25:26,25) 823 STD(8,20:8,22) 16 289 648 498 SUM(27,22:32,22) 421 277 818 791 AVG(21,7:23,7) 284
105 272 756 SUM(22,6:25,11) 943 140 AVG(27,10:27,12) 509 65 937 371 645 902 STD(4,2:5,2) SUM(29,28:32,29) 852 499 977 522 AVG(15,7:16,8) 500 382 143 SUM(35,4:35,16) STD(23,6:23,25) AVG(6,21:6,22) 452 212 312 683
348 412 555 130 263 848 513 SUM(24,15:24,16) 482 713 SUM(20,17:21,20) STD(24,20:24,24) 251 235 800 558 STD(18,17:24,17) 480 501 996 104 905 SUM(24,7:27,7) STD(6,3:20,3) 927 970 STD(3,7:3,8) 629 850 STD(32,6:35,14)
932 686 SUM(12,21:29,21) 793 883 AVG(21,18:24,18) 997 707 218 812 169 804 211 AVG(23,14:30,21) 775 199 415 548 427 AVG(27,15:28,24) STD(4,8:4,10) 899 SUM(10,1:10,7) 110 STD(13,2:14,10) 316 104 848 687 254
SUM(15,29:15,30) STD(5,21:7,27) 225 AVG(13,4:14,6) 649 STD(32,11:32,30) 46 1000 908 STD(35,9:35,10) AVG(7,2:7,4) 440 122 SUM(28,29:33,29) AVG(13,8:18,13) 472 997 SUM(13,25:20,30) 721 265 28 318 741 316 383 505 666 78 662 55
STD(20,27:21,28) 670 182 AVG(14,9:22,9) 547 SUM(17,4:17,5) 556 AVG(17,18:17,19) 431 890 94 936 SUM(8,18:8,22) 339 513 528 SUM(2,20:13,29) 283 105 SUM(11,21:21,23) 67 STD(1,16:1,18) 324 373 438 531 497 623 464 SUM(17,5:17,9)
731 STD(10,11:26,11) 351 930 169 735 176 712 934 520 31 782 690 STD(10,26:13,26) 165 629 838 158 283 96 332 789 910 SUM(15,23:15,27) AVG(20,23:26,24) 616 36 105 SUM(12,3:13,3) 13
SUM(20,16:20,25) 310 576 702 SUM(8,4:8,6) 212 689 STD(21,3:29,3) AVG(24,21:24,25) 328 683 936 681 STD(16,3:17,3) 273 AVG(3,1:3,14) 372 620 78 97 881 94 320 SUM(8,21:8,22) 515 STD(8,18:8,22) 634 741 749 998
27 602 13 36 STD(20,18:23,18) 702 932 417 7 855 603 147 91 SUM(15,8:17,8) 419 503 AVG(4,15:4,17) AVG(34,29:34,30) AVG(22,21:25,22) 666 60 371 771 STD(2,12:34,16) 496 571 SUM(3,14:7,14) 48 947 AVG(20,6:22,7)
SUM(3,6:3,10) 327 359 AVG(17,4:18,9) SUM(12,10:13,10) 570 573 SUM(20,17:27,23) 571 AVG(34,28:35,28) 81 935 511 STD(14,19:15,22) 108 841 453 319 AVG(35,3:35,4) 124 679 74 520 978 244 489 994 475 298 337
301 SUM(1,14:3,14) 103 828 7 STD(17,11:18,11) 971 AVG(27,7:27,9) 444 AVG(32,10:32,12) 335 127 1 244 212 610 SUM(35,1:35,3) 785 330 750 STD(25,22:25,23) 113 571 192 90 SUM(20,27:20,29) STD(11,23:15,23) 805 478 AVG(14,8:15,12)
627 713 967 691 SUM(27,22:28,22) 549 988 63 37 756 937 SUM(32,12:33,13) STD(26,3:27,30) SUM(5,16:5,26) 715 943 994 876 AVG(8,16:8,20) 408 SUM(19,10:19,13) SUM(25,19:32,19) 695 711 794 SUM(17,10:19,13) 64 273 402 3
830 STD(15,3:21,3) 422 AVG(24,17:24,18) 587 534 977 479 858 AVG(29,19:29,20) 505 SUM(10,7:12,8) 906 AVG(33,18:33,21) 97 128 119 37 STD(21,18:22,20) 740 594 697 453 297 STD(3,9:25,9) 665 179 STD(25,6:25,7) 332 816
SUM(18,20:19,20) 983 193 889 AVG(16,11:19,11) 650 74 158 517 91 873 915 270 246 99 789 202 126 171 STD(20,15:21,18) 848 145 2 SUM(31,26:33,26) 116 519 718 STD(23,6:23,14) AVG(8,17:10,18) 801
19 SUM(13,25:16,27) AVG(20,3:21,3) 580 STD(28,2:32,2) STD(27,25:27,26) 499 997 429 868 812 SUM(19,7:24,7) 999 STD(27,18:27,23) SUM(1,24:1,25) 398 613 STD(28,19:29,19) 709 SUM(20,20:23,20) 653 AVG(24,8:25,10) 340 781 611 660 SUM(28,12:28,21) 442 662 STD(10,3:11,11)
466 729 646 86 SUM(10,8:12,9) 913 493 SUM(31,22:34,22) STD(32,6:35,12) 642 881 SUM(4,17:4,18) STD(22,22:25,23) 568 SUM(2,7:4,10) AVG(9,14:12,21) 414 537 415 STD(27,30:31,30) SUM(3,18:12,19) STD(3,9:3,10) AVG(12,9:15,10) 987 SUM(24,8:26,8) 247 SUM(17,30:20,30) 329 104 129
399 812 738 331 682 AVG(3,1:9,1) 117 SUM(30,11:30,13) 327 362 131 713 871 STD(33,8:33,9) 198 973 SUM(7,3:11,5) 720 664 591 914 904 399 149 762 500 708 466 441 851
SUM(15,7:27,7) 977 322 665 234 593 641 AVG(22,5:22,7) 731 STD(28,9:35,9) AVG(1,19:28,19) 129 361 390 AVG(29,28:30,28) 126 848 232 484 199 492 98 106 AVG(33,15:35,16) 808 421 470 AVG(16,6:16,9) 269 137
593 AVG(3,8:3,9) 246 885 332 800 SUM(10,21:13,28) 501 958 SUM(13,6:13,16) STD(20,18:21,20) 529 269 618 249 238 869 AVG(11,3:11,5) 757 96 AVG(15,13:19,13) 578 SUM(20,19:29,22) 5 327 291 STD(27,14:27,25) 672 825 527
